BiFlowCache STAT 1288569561, 0, 0, 29978, 12245, 14156, 14156, 1962, 14156, 0, 14156, 15173, 19082, 0, 19082, 0, 
BiFlowCache STAT 1288569601, 0, 1, 12174172, 7937525, 4095104, 4095104, 3843377, 4109193, 67, 4109193, 4355707, 4109272, 0, 4109273, 0, 
BiFlowCache STAT 1288569901, 0, 3, 10255614, 6818880, 2830474, 2830474, 3987990, 6766095, 173572, 6766095, 8844859, 6939679, 18446744073709551615, 6939746, 66, 
BiFlowCache STAT 1288570201, 0, 6, 10645142, 7104797, 3086374, 3086374, 4026449, 5823918, 4028551, 5823918, 17961079, 9852469, 18446744073709551614, 10026108, 173637, 
BiFlowCache STAT 1288570501, 0, 6, 10075435, 6758620, 2975817, 2975817, 3777734, 5824477, 2975258, 5824477, 17961079, 12828287, 18446744073709551614, 13001926, 173637, 
BiFlowCache STAT 1288570801, 0, 6, 10255196, 6831276, 2930525, 2930525, 3903676, 5761455, 2993547, 5761455, 17961079, 14268060, 2537784, 15932463, 4202187, 
BiFlowCache STAT 1288571101, 0, 6, 10135525, 6677372, 2778376, 2778376, 3902278, 5578287, 2961544, 5578287, 17961079, 14268060, 2734671, 18710833, 7177444, 
BiFlowCache STAT 1288571401, 0, 7, 10045468, 6732838, 2879544, 2879544, 3840022, 5531941, 2925890, 5531941, 17961079, 14268075, 2848690, 21590375, 10170990, 
BiFlowCache STAT 1288571701, 0, 6, 10045595, 6673712, 2800834, 2800834, 3876565, 5551950, 2780825, 5551950, 17961079, 14268075, 3009400, 24391208, 13132533, 
BiFlowCache STAT 1288572001, 0, 8, 12653987, 7963580, 4149888, 4149888, 3814591, 6824264, 2877574, 6824264, 17961079, 15408553, 2925875, 28541100, 16058422, 
BiFlowCache STAT 1288572301, 0, 7, 10225268, 6797642, 3084204, 3084204, 3711824, 7094543, 2813925, 7094543, 17961079, 15566867, 2780814, 31625299, 18839246, 
BiFlowCache STAT 1288572601, 0, 7, 9775608, 6578340, 2750328, 2750328, 3837840, 5644269, 4200602, 5644269, 17961079, 15566867, 23680, 34383162, 18839246, 
BiFlowCache STAT 1288572901, 0, 6, 9653004, 6448355, 2691297, 2691297, 3756104, 5308519, 3027047, 5308519, 17961079, 15566887, 214923, 37069541, 21716819, 
BiFlowCache STAT 1288573201, 0, 7, 11784627, 7525733, 3787179, 3787179, 3743674, 6350523, 2745175, 6350523, 17961079, 16491049, 152253, 40871475, 24530743, 
BiFlowCache STAT 1288573501, 0, 8, 11364628, 7339426, 3512307, 3512307, 3817372, 7165552, 2697278, 7165552, 17961079, 18100190, 2465123, 44366411, 28731344, 
BiFlowCache STAT 1288573801, 0, 7, 9715504, 6557153, 2735838, 2735838, 3828878, 6051861, 3849529, 6051861, 17961079, 18100190, 2756333, 47102247, 31758390, 
BiFlowCache STAT 1288574101, 0, 6, 9625590, 6513631, 2791566, 2791566, 3717502, 5399965, 3443462, 5399965, 17961079, 18100190, 2698606, 49906451, 34503564, 
BiFlowCache STAT 1288574401, 0, 7, 12084415, 7858742, 3886804, 3886804, 3964097, 6547006, 2739763, 6547006, 17961079, 18100190, 1520406, 53780626, 37200841, 
BiFlowCache STAT 1288574701, 0, 7, 11814535, 7584498, 3731132, 3731132, 3853564, 7496652, 2781486, 7496652, 17961079, 19525324, 3063944, 57511749, 41050369, 
BiFlowCache STAT 1288575001, 0, 9, 9685366, 6438855, 2763134, 2763134, 3676024, 6273852, 3985934, 6273852, 17961079, 19525324, 3744264, 60274891, 44493830, 
BiFlowCache STAT 1288575301, 0, 8, 10315389, 6802297, 2974779, 2974779, 3830298, 5607460, 3641171, 5607460, 17961079, 19525324, 3501442, 63257877, 47233592, 
BiFlowCache STAT 1288575602, 0, 7, 10105339, 6715411, 2997902, 2997902, 3727410, 5845175, 2760187, 5845175, 17961079, 19525324, 3292834, 66247568, 50015077, 
BiFlowCache STAT 1288575901, 0, 7, 12144313, 7694808, 4000573, 4000573, 3692483, 6879088, 2966660, 6879088, 17961079, 20233040, 3985912, 70248138, 54001010, 
BiFlowCache STAT 1288576201, 0, 8, 9985282, 6626760, 2868518, 2868518, 3745496, 6670620, 3076986, 6670620, 17961079, 20233040, 4758566, 73116654, 57642180, 
BiFlowCache STAT 1288576501, 0, 8, 9365658, 6273018, 2578089, 2578089, 3717085, 5286920, 3961789, 5286920, 17961079, 20233040, 4940658, 75694748, 60402366, 
BiFlowCache STAT 1288576801, 0, 7, 9835432, 6594426, 2750859, 2750859, 3837040, 5205353, 2832426, 5205353, 17961079, 20233040, 2189788, 78445618, 60402366, 
BiFlowCache STAT 1288577101, 0, 8, 9295464, 6250039, 2564447, 2564447, 3672552, 5190290, 2579510, 5190290, 17961079, 20233040, 2592001, 81010064, 63369025, 
BiFlowCache STAT 1288577401, 0, 6, 9205648, 6203775, 2564940, 2564940, 3651217, 4999654, 2755576, 4999654, 17961079, 20233040, 3104044, 83575007, 66446010, 
BiFlowCache STAT 1288577701, 0, 6, 9685466, 6545791, 2837527, 2837527, 3705778, 5277724, 2559457, 5277724, 17961079, 20233040, 4228305, 86412533, 70407798, 
BiFlowCache STAT 1288578001, 0, 6, 9775407, 6480253, 2734055, 2734055, 3742985, 5432934, 2578845, 5432934, 17961079, 20233040, 4326689, 89146575, 73240223, 
BiFlowCache STAT 1288578301, 1, 6, 9475877, 6298205, 2659699, 2659699, 3651479, 5260467, 2832166, 5260467, 17961079, 20233040, 4246497, 91806275, 75819732, 
BiFlowCache STAT 1288578601, 0, 7, 9865476, 6555663, 2839009, 2839009, 3701629, 5364642, 2734834, 5364642, 17961079, 20233040, 4163065, 94645282, 78575307, 
BiFlowCache STAT 1288578901, 0, 7, 10075291, 6479302, 2853891, 2853891, 3631099, 5566354, 2652179, 5566354, 17961079, 20233040, 3868610, 97499193, 81134763, 
BiFlowCache STAT 1288579201, 0, 6, 9415621, 6285682, 2661386, 2661386, 3629922, 5376787, 2850953, 5376787, 17961079, 20233040, 3786088, 100160560, 83713607, 
BiFlowCache STAT 1288579501, 0, 6, 9325677, 6239058, 2629140, 2629140, 3612322, 5149468, 2856459, 5149468, 17961079, 20233040, 3989107, 102789705, 86545772, 
BiFlowCache STAT 1288579801, 0, 6, 9565585, 6390731, 2739044, 2739044, 3639595, 5237748, 2650764, 5237748, 17961079, 20233040, 3984897, 105528748, 89280605, 
BiFlowCache STAT 1288580101, 0, 6, 9600285, 6399065, 2748476, 2748476, 3647556, 5364371, 2621853, 5364371, 17961079, 20233040, 3888608, 108277215, 91932783, 
BiFlowCache STAT 1288580401, 0, 6, 9745526, 6479961, 2774907, 2774907, 3711143, 5385585, 2753693, 5385585, 17961079, 20233040, 3952588, 111065205, 94783735, 
BiFlowCache STAT 1288580702, 0, 7, 9475575, 6278266, 2633663, 2633663, 3640592, 5297729, 2721519, 5297729, 17961079, 20233040, 4187444, 113685789, 97640193, 
BiFlowCache STAT 1288581001, 0, 6, 9475699, 6323048, 2682105, 2682105, 3633526, 5198571, 2781263, 5198571, 17961079, 20233040, 4156103, 116367893, 100290956, 
BiFlowCache STAT 1288581301, 0, 10, 9235851, 6205758, 2630251, 2630251, 3575581, 5187799, 2641023, 5187799, 17961079, 20233040, 4147696, 118998153, 102912808, 
BiFlowCache STAT 1288581601, 0, 6, 9355808, 6219073, 2674027, 2674027, 3553467, 5159720, 2702106, 5159720, 17961079, 20233040, 4227355, 121672185, 105666500, 
BiFlowCache STAT 1288581901, 0, 7, 9355537, 6193695, 2579393, 2579393, 3614910, 5136247, 2602866, 5136247, 17961079, 20233040, 4369483, 124251575, 108388018, 
BiFlowCache STAT 1288582201, 0, 6, 9925504, 6478300, 2827066, 2827066, 3648643, 5284574, 2678739, 5284574, 17961079, 20233040, 4323664, 127078656, 111169280, 
BiFlowCache STAT 1288582501, 0, 7, 9446178, 6305293, 2674004, 2674004, 3630104, 5370900, 2587678, 5370900, 17961079, 20233040, 4290703, 129752640, 113810302, 
BiFlowCache STAT 1288582801, 0, 7, 9175732, 6143404, 2529150, 2529150, 3607393, 5074179, 2825871, 5074179, 17961079, 20233040, 1761540, 132281802, 113810302, 
BiFlowCache STAT 1288583101, 0, 5, 8995853, 6006447, 2538066, 2538066, 3471465, 4946020, 2666225, 4946020, 17961079, 20233040, 1925594, 134819854, 116512407, 
BiFlowCache STAT 1288583401, 0, 6, 9415722, 6235829, 2684172, 2684172, 3554803, 5095720, 2534472, 5095720, 17961079, 20233040, 1844276, 137504037, 119115272, 
BiFlowCache STAT 1288583701, 0, 6, 9321183, 6225715, 2673067, 2673067, 3553577, 5173571, 2595216, 5173571, 17961079, 20233040, 1849957, 140177093, 121794010, 
BiFlowCache STAT 1288584001, 0, 7, 11275105, 7283430, 3520923, 3520923, 3768206, 6075321, 2619173, 6075321, 17961079, 20671696, 1355362, 143698021, 124381687, 
BiFlowCache STAT 1288584301, 0, 8, 11004936, 7067161, 3372124, 3372124, 3692633, 6775948, 2671497, 6775948, 17961079, 22360659, 2498083, 147070134, 127207557, 
BiFlowCache STAT 1288584601, 0, 8, 10405373, 6698315, 3091149, 3091149, 3601720, 6334744, 3532353, 6334744, 17961079, 22922649, 2635141, 150161289, 129873781, 
BiFlowCache STAT 1288584901, 0, 8, 9445663, 6234743, 2743534, 2743534, 3494738, 5703827, 3374451, 5703827, 17961079, 22922658, 2426089, 152904822, 132408252, 
BiFlowCache STAT 1288585201, 0, 7, 10435092, 6767511, 3233067, 3233067, 3542031, 5845416, 3091478, 5845416, 17961079, 23729584, 2595166, 156137885, 135003467, 
BiFlowCache STAT 1288585501, 0, 8, 10465312, 6738443, 3084235, 3084235, 3644105, 6199667, 2729984, 6199667, 17961079, 24218603, 2619113, 159222129, 137622639, 
BiFlowCache STAT 1288585801, 0, 7, 10075317, 6545354, 3023975, 3023975, 3519374, 5954375, 3269267, 5954375, 17961079, 24536269, 2584296, 162246108, 140294135, 
BiFlowCache STAT 1288586101, 0, 7, 9146068, 6113312, 2627470, 2627470, 3496114, 5533319, 3048526, 5533319, 17961079, 24579378, 3532299, 164873566, 143826487, 
BiFlowCache STAT 1288586401, 0, 6, 9745519, 6282813, 2835664, 2835664, 3444442, 5351169, 3017814, 5351169, 17961079, 24579378, 696638, 167709227, 143826487, 
BiFlowCache STAT 1288586701, 0, 8, 11094833, 7037210, 3571625, 3571625, 3454016, 6289013, 2633781, 6289013, 17961079, 24579378, 3590937, 171280855, 150292414, 
BiFlowCache STAT 1288587001, 0, 7, 9205899, 6098983, 2577371, 2577371, 3533927, 6005334, 2861050, 6005334, 17961079, 24579378, 3743533, 173858242, 153022397, 
BiFlowCache STAT 1288587301, 0, 10, 9265515, 6161478, 2652129, 2652129, 3513751, 5107276, 3550187, 5107276, 17961079, 24579378, 4360681, 176510361, 156291663, 
BiFlowCache STAT 1288587601, 0, 6, 9895369, 6619490, 2783859, 2783859, 3820578, 5293293, 2597842, 5293293, 17961079, 24579378, 1576824, 179294218, 156291663, 
BiFlowCache STAT 1288587901, 0, 6, 9355475, 6222564, 2650071, 2650071, 3587532, 5302763, 2640601, 5302763, 17961079, 24579378, 1975278, 181944288, 159340188, 
BiFlowCache STAT 1288588201, 0, 6, 9235521, 6153975, 2571419, 2571419, 3565548, 5095769, 2778413, 5095769, 17961079, 24579378, 2421673, 184515706, 162358001, 
BiFlowCache STAT 1288588501, 0, 6, 9205810, 6125958, 2635930, 2635930, 3510852, 5079397, 2652302, 5079397, 17961079, 24579378, 2419522, 187151637, 164991781, 
BiFlowCache STAT 1288588801, 0, 7, 9385740, 6221973, 2678030, 2678030, 3523369, 5202830, 2554597, 5202830, 17961079, 24579378, 2602541, 189829667, 167852830, 
BiFlowCache STAT 1288589101, 0, 7, 9745737, 6442319, 2881046, 2881046, 3583081, 5425643, 2658233, 5425643, 17961079, 24579378, 3271681, 192710713, 171403016, 
BiFlowCache STAT 1288589401, 0, 6, 9745467, 6439023, 2846361, 2846361, 3594417, 5591609, 2680395, 5591609, 17961079, 24579378, 3023164, 195557071, 174000857, 
BiFlowCache STAT 1288589701, 0, 7, 9745379, 6442967, 2793113, 2793113, 3649066, 5505826, 2878896, 5505826, 17961079, 24579378, 2870648, 198350188, 176641457, 
BiFlowCache STAT 1288590001, 0, 8, 9565788, 6358204, 2708037, 2708037, 3639255, 5374620, 2839243, 5374620, 17961079, 24579378, 2941027, 201058220, 179419869, 
BiFlowCache STAT 1288590301, 0, 6, 10105485, 6757588, 2912101, 2912101, 3850748, 5487125, 2799596, 5487125, 17961079, 24579378, 5235822, 203970322, 184626766, 
BiFlowCache STAT 1288590601, 0, 7, 10225231, 6849630, 2967656, 2967656, 3875227, 5748177, 2706604, 5748177, 17961079, 24579378, 4926400, 206937976, 187284998, 
BiFlowCache STAT 1288590901, 0, 6, 10659131, 7047948, 3137821, 3137821, 3905887, 5970236, 2915762, 5970236, 17961079, 24579378, 4468970, 210075800, 189965392, 
BiFlowCache STAT 1288591201, 0, 6, 10824978, 7211957, 3170247, 3170247, 4036995, 6172084, 2968399, 6172084, 17961079, 24579378, 4177617, 213246048, 192844287, 
BiFlowCache STAT 1288591501, 0, 7, 11544281, 7710071, 3461413, 3461413, 4247400, 6480577, 3152920, 6480577, 17961079, 24579378, 3555442, 216707465, 195683529, 
BiFlowCache STAT 1288591801, 0, 7, 11454497, 7682681, 3399474, 3399474, 4284124, 6717076, 3162975, 6717076, 17961079, 24579378, 2955548, 220106954, 198483124, 
BiFlowCache STAT 1288592101, 0, 7, 11124905, 7451233, 3276015, 3276015, 4175531, 6501499, 3491592, 6501499, 17961079, 24579378, 2386140, 223382965, 201189727, 
BiFlowCache STAT 1288592402, 0, 6, 11364694, 7646466, 3362461, 3362461, 4291949, 6465196, 3398764, 6465196, 17961079, 24579401, 1939476, 226745413, 204105488, 
BiFlowCache STAT 1288592702, 0, 6, 11484959, 7638879, 3309043, 3309043, 4324903, 6528539, 3245700, 6528539, 17961079, 25728535, 2747953, 230054468, 207073886, 
BiFlowCache STAT 1288593001, 0, 9, 12054596, 7968423, 3554723, 3554723, 4416376, 6717873, 3365389, 6717873, 17961079, 26193682, 2811301, 233609186, 210226805, 
BiFlowCache STAT 1288593301, 0, 7, 12024560, 7989926, 3527894, 3527894, 4470232, 6921696, 3324071, 6921696, 17961079, 26639746, 2892439, 237137087, 213389779, 
BiFlowCache STAT 1288593601, 0, 7, 12354519, 8261119, 3660606, 3660606, 4585845, 7038143, 3544159, 7038143, 17961079, 27004097, 3087553, 240797914, 216881370, 
BiFlowCache STAT 1288593901, 0, 7, 12953860, 8578521, 3976295, 3976295, 4617570, 7471195, 3543243, 7471195, 17961079, 27272816, 2778955, 244773995, 220280133, 
BiFlowCache STAT 1288594201, 0, 8, 12563758, 8425069, 3717389, 3717389, 4702311, 7516654, 3671930, 7516654, 17961079, 27908681, 2943136, 248491377, 223525832, 
BiFlowCache STAT 1288594501, 0, 8, 12904693, 8616963, 3733246, 3733246, 4881752, 7279826, 3970074, 7279826, 17961079, 28698692, 3365296, 252224617, 226891220, 
