# FLOWS, density
12704.0, 1
16587.0, 1
4780.0, 2
39092.0, 1
0.0, 2304
140990.0, 1
18618.0, 1
611712.0, 1
9210.0, 1
6120.0, 3
12919.0, 1
6565.0, 4
357638.0, 1
699206.0, 1
631315.0, 1
22530.0, 1
4506.0, 3
150942.0, 1
8942.0, 1
127903.0, 1
13567.0, 1
12602.0, 2
2356.0, 22
50722.0, 1
34742.0, 1
1900.0, 29
4038.0, 3
34254.0, 1
98162.0, 1
33656.0, 1
18936.0, 1
7368.0, 3
280.0, 419
29554.0, 1
40794.0, 1
10181.0, 1
6342.0, 2
7574.0, 2
15737.0, 1
54142.0, 1
17612.0, 1
68252.0, 1
13338.0, 2
35662.0, 1
28536.0, 1
3339903.0, 1
15915.0, 2
5960.0, 6
15510.0, 1
3083.0, 8
16566.0, 3
184102.0, 1
415504.0, 1
378474.0, 1
24633.0, 1
14466.0, 1
961.0, 73
5750.0, 8
405.0, 237
11041.0, 2
2466.0, 13
4288.0, 7
13668.0, 1
51771.0, 1
9455.0, 1
13191.0, 1
7676.0, 4
31707.0, 1
2520.0, 24
618823.0, 1
53238.0, 1
279756.0, 1
11747.0, 1
3090.0, 6
13532.0, 1
8097.0, 1
14992.0, 2
11803.0, 2
3029.0, 18
6494.0, 5
12029.0, 3
275.0, 393
15707.0, 2
16267.0, 1
596718.0, 1
12607.0, 2
5365.0, 2
3255.0, 13
97299.0, 1
12739.0, 2
11692.0, 1
46809.0, 1
9556.0, 1
4431.0, 5
91110.0, 1
13353.0, 2
15302.0, 1
8250.0, 2
5900.0, 3
2682.0, 15
1706.0, 43
2220.0, 22
13972.0, 1
11336.0, 1
12889.0, 1
5862.0, 2
8337.0, 2
34924.0, 1
2958.0, 9
2795.0, 26
4771.0, 6
29317.0, 1
16065.0, 1
10416.0, 1
9463.0, 1
6623.0, 6
22509.0, 1
9058.0, 2
3921.0, 6
8581.0, 1
567170.0, 1
3555.0, 12
3459.0, 16
17555.0, 1
13805.0, 1
30745.0, 1
7632.0, 2
19633.0, 1
28610.0, 2
7044.0, 2
38071.0, 1
12371.0, 1
15372.0, 1
9887.0, 1
18091.0, 1
39830.0, 1
26286.0, 1
19862.0, 1
359.0, 265
3112.0, 15
100514.0, 1
10491.0, 2
6157.0, 1
35794.0, 1
1498.0, 40
57421.0, 1
13705.0, 2
4402.0, 5
34091.0, 1
3007.0, 16
4543.0, 6
9021.0, 1
191396.0, 1
18591.0, 1
8170.0, 1
231298.0, 1
15244.0, 1
11178.0, 1
5304.0, 4
2890.0, 18
23476.0, 1
634.0, 119
42064.0, 1
15011.0, 1
18017.0, 1
3222.0, 15
7131.0, 5
129720.0, 1
22227.0, 1
9990.0, 2
6552.0, 1
970.0, 73
663640.0, 1
18264.0, 1
28561.0, 1
7782.0, 3
3617.0, 8
37312.0, 1
10239.0, 2
23977.0, 1
128832.0, 1
17728.0, 2
9195.0, 4
4489.0, 4
9824.0, 1
76367.0, 1
354.0, 309
8366.0, 3
1135.0, 56
4934.0, 9
9404.0, 1
16642.0, 1
24911.0, 1
49480.0, 1
1720569.0, 1
13005.0, 1
24506.0, 1
15802.0, 1
26294.0, 1
1483.0, 30
133524.0, 1
7117.0, 4
46650.0, 1
12103.0, 3
116487.0, 1
1060.0, 44
25753.0, 1
25738.0, 1
8697.0, 4
30512.0, 1
31123.0, 1
28601.0, 1
10852.0, 1
14360.0, 1
30511.0, 1
4173.0, 7
10957432.0, 1
1013.0, 39
39217.0, 1
12566.0, 1
8126.0, 1
8906.0, 1
11861.0, 2
32209.0, 1
13570.0, 1
12487.0, 1
313.0, 321
122895.0, 1
931.0, 91
530538.0, 1
50527.0, 1
3005.0, 16
902.0, 64
6215.0, 3
21471.0, 1
15869.0, 1
4601.0, 2
189476.0, 1
11814.0, 1
324838.0, 1
4460.0, 10
14435.0, 1
5929.0, 1
5046.0, 8
10334.0, 3
31038.0, 1
2407.0, 14
21788.0, 2
382138.0, 1
42654.0, 1
7343.0, 4
2196.0, 19
1729.0, 40
1721.0, 31
14093.0, 1
9663.0, 2
60616.0, 1
6295.0, 2
49011.0, 1
3762.0, 9
3305.0, 15
42988.0, 1
115122.0, 1
250893.0, 1
100261.0, 1
14327.0, 2
6816.0, 2
3646.0, 15
21994.0, 2
1646.0, 34
12327.0, 2
12488.0, 1
9945.0, 1
308.0, 335
20091.0, 1
89255.0, 1
1294.0, 34
2953.0, 13
4032.0, 6
110242.0, 1
8482.0, 2
5741.0, 3
4677.0, 6
5674.0, 4
15664.0, 1
741.0, 105
9608.0, 3
8214.0, 1
19206.0, 1
181427.0, 1
4572.0, 1
1424.0, 46
46475.0, 1
16427.0, 1
24703.0, 1
25568.0, 1
79332.0, 1
34273.0, 1
39980.0, 1
4123.0, 7
8301.0, 1
4298.0, 5
6869.0, 1
41203.0, 1
29767.0, 1
21110.0, 1
12516.0, 2
69038.0, 1
48921.0, 1
10380.0, 2
4231.0, 7
35963.0, 1
267.0, 449
3525.0, 10
34422.0, 1
7160.0, 3
3722.0, 7
9022.0, 1
23121.0, 1
5557.0, 1
19096.0, 1
111794.0, 1
23801.0, 1
14334.0, 2
16317.0, 1
5752.0, 5
2.0, 9170
690.0, 106
181996.0, 1
