# VTS_0.5ratio, density
1044.0, 61
940.0, 68
663.0, 110
659.0, 110
1036.0, 67
589.0, 111
564.0, 122
242.0, 300
322.0, 214
442.0, 175
585.0, 138
1053.0, 51
178.0, 483
560.0, 140
225.0, 375
1045.0, 65
238.0, 370
314.0, 235
297.0, 275
511.0, 154
722.0, 86
788.0, 75
957.0, 49
1139.0, 43
434.0, 167
204.0, 409
234.0, 342
784.0, 88
532.0, 151
306.0, 253
426.0, 150
528.0, 126
332.0, 240
289.0, 245
945.0, 56
503.0, 147
1020.0, 74
409.0, 179
1198.0, 100
879.0, 58
710.0, 98
1190.0, 73
281.0, 286
200.0, 407
946.0, 65
1099.0, 68
264.0, 275
669.0, 113
756.0, 68
690.0, 92
867.0, 71
324.0, 228
418.0, 153
1075.0, 61
1008.0, 62
1180.0, 66
401.0, 171
752.0, 92
657.0, 93
934.0, 79
273.0, 287
22.0, 13050
591.0, 118
393.0, 193
678.0, 85
1051.0, 66
299.0, 258
256.0, 284
913.0, 57
1156.0, 47
376.0, 174
980.0, 64
914.0, 68
579.0, 121
252.0, 296
839.0, 65
637.0, 116
1116.0, 66
976.0, 88
1201.0, 133
901.0, 79
835.0, 69
385.0, 204
291.0, 262
538.0, 118
29.0, 8489
1193.0, 92
559.0, 121
902.0, 64
625.0, 118
41.0, 4926
505.0, 144
368.0, 186
21.0, 14081
488.0, 189
1078.0, 50
1092.0, 48
248.0, 329
526.0, 153
360.0, 185
547.0, 124
1137.0, 55
762.0, 69
40.0, 5018
497.0, 137
1054.0, 61
480.0, 158
1135.0, 51
55.0, 3076
28.0, 8861
39.0, 5202
123.0, 907
352.0, 215
750.0, 75
919.0, 64
684.0, 98
1113.0, 62
472.0, 160
845.0, 50
986.0, 67
54.0, 3283
920.0, 70
1095.0, 55
907.0, 67
672.0, 97
982.0, 65
841.0, 66
1178.0, 73
730.0, 92
38.0, 5416
121.0, 870
464.0, 157
1071.0, 50
53.0, 3356
174.0, 489
908.0, 62
631.0, 101
887.0, 60
718.0, 78
652.0, 112
1154.0, 64
557.0, 132
349.0, 207
4.0, 103524
954.0, 69
52.0, 3420
170.0, 539
619.0, 140
553.0, 152
813.0, 74
875.0, 67
1031.0, 67
640.0, 105
298.0, 258
70.0, 2176
230.0, 338
166.0, 553
942.0, 56
876.0, 67
599.0, 128
801.0, 87
341.0, 251
525.0, 156
333.0, 220
226.0, 361
68.0, 2240
290.0, 250
1200.0, 111
864.0, 64
521.0, 151
587.0, 123
316.0, 240
410.0, 183
162.0, 567
175.0, 563
222.0, 365
1134.0, 55
1126.0, 81
1176.0, 61
265.0, 282
1209.0, 752
325.0, 228
445.0, 161
308.0, 248
724.0, 97
402.0, 188
749.0, 90
720.0, 89
428.0, 166
745.0, 92
171.0, 502
218.0, 400
1185.0, 67
650.0, 88
394.0, 185
300.0, 267
257.0, 298
881.0, 58
1070.0, 48
1175.0, 68
283.0, 263
646.0, 134
377.0, 196
1151.0, 47
437.0, 176
1167.0, 57
1062.0, 56
948.0, 64
807.0, 66
420.0, 168
882.0, 59
1052.0, 46
692.0, 90
386.0, 200
803.0, 76
944.0, 63
292.0, 274
869.0, 63
369.0, 179
412.0, 174
275.0, 276
506.0, 156
870.0, 70
618.0, 91
593.0, 114
395.0, 167
489.0, 164
680.0, 91
1111.0, 67
361.0, 198
614.0, 121
849.0, 74
1028.0, 70
267.0, 280
344.0, 217
519.0, 149
498.0, 148
581.0, 144
916.0, 77
515.0, 150
775.0, 82
404.0, 166
837.0, 74
1073.0, 45
771.0, 95
912.0, 76
387.0, 183
481.0, 179
353.0, 224
259.0, 305
27.0, 9425
751.0, 94
842.0, 67
473.0, 144
838.0, 68
37.0, 5861
336.0, 232
561.0, 126
379.0, 207
1049.0, 79
456.0, 156
1213.0, 4
739.0, 74
999.0, 67
995.0, 74
549.0, 123
3.0, 131930
1205.0, 148
1114.0, 62
698.0, 78
371.0, 184
36.0, 6082
465.0, 165
2.0, 173977
491.0, 149
51.0, 3578
863.0, 58
448.0, 173
35.0, 6439
1090.0, 58
620.0, 110
711.0, 102
686.0, 110
440.0, 139
707.0, 109
1066.0, 55
922.0, 70
483.0, 152
781.0, 81
50.0, 3664
843.0, 72
66.0, 2345
608.0, 112
34.0, 6646
831.0, 69
158.0, 648
49.0, 3675
432.0, 178
769.0, 83
567.0, 120
844.0, 63
910.0, 59
1026.0, 69
654.0, 111
1005.0, 58
317.0, 268
64.0, 2502
890.0, 54
94.0, 1305
832.0, 82
580.0, 109
48.0, 3807
154.0, 624
555.0, 135
811.0, 77
576.0, 111
642.0, 94
167.0, 565
63.0, 2531
214.0, 401
543.0, 129
993.0, 54
1112.0, 58
1195.0, 72
878.0, 56
812.0, 82
309.0, 245
717.0, 104
429.0, 149
92.0, 1302
1121.0, 94
1088.0, 67
301.0, 230
973.0, 58
713.0, 95
1171.0, 70
163.0, 533
210.0, 408
62.0, 2620
800.0, 66
1202.0, 111
523.0, 134
223.0, 399
284.0, 304
90.0, 1432
206.0, 407
159.0, 570
1087.0, 48
1097.0, 58
961.0, 66
1048.0, 62
759.0, 94
421.0, 185
293.0, 263
7.0, 59817
660.0, 99
685.0, 102
88.0, 1441
276.0, 297
219.0, 395
413.0, 187
1057.0, 58
1024.0, 53
825.0, 78
747.0, 92
396.0, 185
490.0, 133
155.0, 604
202.0, 431
1162.0, 39
118.0, 980
1138.0, 56
586.0, 100
215.0, 384
268.0, 298
673.0, 94
582.0, 127
574.0, 108
1047.0, 58
648.0, 126
1033.0, 62
405.0, 183
388.0, 192
116.0, 1007
884.0, 62
482.0, 135
508.0, 158
211.0, 362
260.0, 326
628.0, 115
805.0, 90
810.0, 63
1098.0, 48
793.0, 85
286.0, 286
380.0, 202
872.0, 64
363.0, 210
806.0, 72
457.0, 162
554.0, 137
529.0, 143
616.0, 138
967.0, 68
1149.0, 46
500.0, 167
1192.0, 94
955.0, 57
517.0, 161
1141.0, 41
963.0, 63
278.0, 280
372.0, 177
1184.0, 61
852.0, 78
773.0, 97
449.0, 172
1017.0, 65
355.0, 194
492.0, 135
753.0, 80
778.0, 84
475.0, 170
347.0, 172
840.0, 73
33.0, 6862
774.0, 80
679.0, 104
1128.0, 46
1085.0, 52
675.0, 89
935.0, 61
484.0, 144
741.0, 87
997.0, 76
1077.0, 55
467.0, 187
1002.0, 69
339.0, 222
32.0, 7310
998.0, 64
721.0, 84
799.0, 79
1104.0, 66
459.0, 146
47.0, 4084
647.0, 136
622.0, 100
643.0, 93
709.0, 99
548.0, 123
451.0, 140
46.0, 4060
779.0, 66
610.0, 126
61.0, 2689
1023.0, 61
544.0, 122
1131.0, 51
45.0, 4356
846.0, 84
1212.0, 212
5.0, 91502
590.0, 115
941.0, 64
772.0, 91
285.0, 314
60.0, 2768
1107.0, 70
834.0, 62
516.0, 146
735.0, 72
1083.0, 56
1003.0, 73
768.0, 85
1188.0, 67
86.0, 1555
44.0, 4473
578.0, 129
151.0, 641
59.0, 2836
991.0, 70
512.0, 150
1166.0, 64
929.0, 85
1004.0, 56
814.0, 74
1158.0, 62
1197.0, 107
277.0, 286
1148.0, 40
917.0, 64
653.0, 85
303.0, 264
397.0, 182
84.0, 1639
1082.0, 54
740.0, 87
992.0, 55
269.0, 314
114.0, 1042
1043.0, 70
147.0, 687
58.0, 2927
715.0, 114
1124.0, 71
971.0, 65
802.0, 77
207.0, 415
82.0, 1761
254.0, 295
703.0, 92
736.0, 87
1074.0, 64
542.0, 125
641.0, 111
143.0, 724
897.0, 67
295.0, 267
604.0, 129
9.0, 44238
389.0, 159
1157.0, 49
509.0, 128
112.0, 1076
1133.0, 42
261.0, 296
381.0, 196
621.0, 117
287.0, 281
964.0, 55
203.0, 426
80.0, 1763
250.0, 304
960.0, 67
270.0, 307
683.0, 83
110.0, 1102
364.0, 180
139.0, 763
766.0, 69
199.0, 426
522.0, 150
609.0, 119
501.0, 141
584.0, 118
1093.0, 51
572.0, 115
373.0, 210
279.0, 299
923.0, 67
820.0, 62
399.0, 204
262.0, 329
493.0, 121
108.0, 1135
356.0, 216
985.0, 76
382.0, 179
195.0, 436
476.0, 153
148.0, 680
255.0, 349
746.0, 84
348.0, 199
808.0, 82
331.0, 218
1179.0, 56
734.0, 83
485.0, 180
12.0, 30165
552.0, 144
796.0, 78
391.0, 173
468.0, 165
144.0, 692
1064.0, 61
635.0, 97
903.0, 79
374.0, 187
891.0, 64
697.0, 75
965.0, 81
251.0, 289
340.0, 207
1155.0, 55
970.0, 47
953.0, 57
366.0, 181
460.0, 140
323.0, 242
1040.0, 67
958.0, 70
443.0, 162
966.0, 65
714.0, 91
776.0, 62
1115.0, 63
1204.0, 158
315.0, 252
71.0, 2042
1196.0, 107
615.0, 121
871.0, 70
1012.0, 63
358.0, 210
452.0, 153
677.0, 93
603.0, 120
665.0, 80
1091.0, 55
478.0, 166
933.0, 55
435.0, 165
938.0, 64
307.0, 264
1000.0, 62
566.0, 126
69.0, 2221
427.0, 179
583.0, 113
470.0, 164
67.0, 2369
645.0, 104
419.0, 178
1207.0, 286
959.0, 67
546.0, 147
1199.0, 108
57.0, 3009
1102.0, 63
173.0, 530
534.0, 153
65.0, 2504
1084.0, 57
885.0, 63
1177.0, 65
1094.0, 62
95.0, 1297
782.0, 68
947.0, 74
708.0, 82
56.0, 3184
1143.0, 50
1060.0, 54
696.0, 92
671.0, 106
704.0, 97
78.0, 1762
1153.0, 52
169.0, 520
770.0, 61
927.0, 65
514.0, 169
135.0, 778
758.0, 74
93.0, 1361
865.0, 61
1006.0, 82
1038.0, 60
597.0, 113
165.0, 623
1069.0, 61
853.0, 63
1119.0, 63
1030.0, 79
932.0, 69
365.0, 210
76.0, 1856
915.0, 71
271.0, 336
106.0, 1210
928.0, 66
131.0, 802
676.0, 105
651.0, 114
994.0, 52
738.0, 88
161.0, 597
191.0, 475
74.0, 2038
639.0, 104
577.0, 102
221.0, 360
974.0, 75
833.0, 76
565.0, 147
540.0, 150
263.0, 308
8.0, 51718
357.0, 204
1029.0, 58
627.0, 122
383.0, 218
477.0, 160
104.0, 1231
6.0, 71556
1.0, 199611
900.0, 54
140.0, 714
187.0, 443
72.0, 2026
896.0, 56
217.0, 428
962.0, 65
247.0, 354
102.0, 1192
702.0, 107
183.0, 469
764.0, 75
520.0, 110
545.0, 150
375.0, 215
469.0, 160
495.0, 166
136.0, 742
1174.0, 79
461.0, 163
859.0, 81
196.0, 431
367.0, 218
243.0, 332
925.0, 60
100.0, 1195
350.0, 209
1150.0, 45
444.0, 156
132.0, 803
179.0, 484
921.0, 58
926.0, 63
682.0, 90
239.0, 367
847.0, 72
487.0, 131
1140.0, 48
670.0, 127
744.0, 83
988.0, 69
15.0, 22654
1132.0, 59
732.0, 103
192.0, 466
359.0, 204
11.0, 34948
453.0, 152
1035.0, 66
571.0, 137
479.0, 135
342.0, 213
128.0, 818
436.0, 156
1110.0, 56
893.0, 53
658.0, 91
235.0, 373
633.0, 107
1027.0, 66
827.0, 66
462.0, 172
188.0, 461
889.0, 60
906.0, 56
1191.0, 75
334.0, 228
411.0, 177
968.0, 71
894.0, 67
956.0, 56
1076.0, 53
815.0, 82
712.0, 98
471.0, 148
1068.0, 61
454.0, 170
184.0, 446
551.0, 119
326.0, 226
605.0, 118
613.0, 125
539.0, 130
244.0, 373
601.0, 122
446.0, 155
403.0, 168
1129.0, 62
874.0, 83
20.0, 14917
936.0, 70
527.0, 146
240.0, 306
91.0, 1400
438.0, 191
763.0, 80
1194.0, 80
1079.0, 59
664.0, 102
1089.0, 68
507.0, 126
726.0, 107
89.0, 1440
1065.0, 65
1170.0, 62
895.0, 64
119.0, 979
157.0, 593
821.0, 78
1055.0, 49
743.0, 102
87.0, 1475
883.0, 55
1130.0, 46
888.0, 60
644.0, 94
499.0, 143
1025.0, 53
950.0, 56
607.0, 138
117.0, 988
153.0, 641
706.0, 90
632.0, 135
809.0, 65
1106.0, 55
213.0, 416
694.0, 96
85.0, 1510
533.0, 130
115.0, 1001
149.0, 695
595.0, 122
789.0, 88
855.0, 66
868.0, 73
851.0, 54
612.0, 117
209.0, 423
930.0, 68
856.0, 53
98.0, 1233
918.0, 74
777.0, 71
674.0, 103
575.0, 116
282.0, 293
113.0, 1008
145.0, 658
757.0, 90
513.0, 136
205.0, 411
1013.0, 63
96.0, 1290
563.0, 147
351.0, 233
1160.0, 57
1086.0, 52
836.0, 61
1152.0, 49
274.0, 285
126.0, 840
1136.0, 54
201.0, 422
898.0, 58
231.0, 353
1001.0, 69
737.0, 83
638.0, 99
266.0, 297
1169.0, 56
700.0, 94
1145.0, 51
343.0, 191
1161.0, 58
725.0, 99
463.0, 160
124.0, 860
795.0, 70
626.0, 90
1046.0, 51
861.0, 65
180.0, 492
335.0, 230
227.0, 398
1096.0, 46
857.0, 74
318.0, 230
1127.0, 59
688.0, 97
258.0, 322
122.0, 914
1210.0, 957
378.0, 183
862.0, 57
1105.0, 62
606.0, 102
924.0, 79
705.0, 82
455.0, 188
14.0, 24846
783.0, 79
1103.0, 62
