# VTS, density
1044.0, 61
940.0, 68
663.0, 110
659.0, 110
1036.0, 67
589.0, 111
564.0, 122
242.0, 310
322.0, 214
442.0, 175
585.0, 138
1053.0, 51
178.0, 485
560.0, 140
225.0, 386
1045.0, 65
238.0, 375
314.0, 236
297.0, 277
511.0, 154
788.0, 75
957.0, 49
1139.0, 43
434.0, 167
722.0, 87
204.0, 411
234.0, 347
784.0, 89
532.0, 152
306.0, 253
426.0, 151
528.0, 126
332.0, 241
289.0, 246
945.0, 56
503.0, 148
409.0, 179
1198.0, 101
879.0, 58
710.0, 98
1020.0, 75
281.0, 286
200.0, 411
1190.0, 74
946.0, 65
1099.0, 68
264.0, 276
669.0, 113
756.0, 68
690.0, 92
867.0, 71
324.0, 229
1008.0, 62
418.0, 153
1075.0, 61
1180.0, 67
401.0, 171
752.0, 92
657.0, 93
934.0, 79
273.0, 287
22.0, 13178
591.0, 118
393.0, 193
678.0, 85
1051.0, 66
299.0, 258
256.0, 299
913.0, 57
1156.0, 48
376.0, 175
980.0, 65
914.0, 68
579.0, 121
252.0, 331
839.0, 66
637.0, 118
1116.0, 66
976.0, 89
1201.0, 134
901.0, 79
835.0, 69
385.0, 205
291.0, 264
538.0, 119
29.0, 8539
1193.0, 92
559.0, 123
902.0, 64
625.0, 118
41.0, 4959
505.0, 144
368.0, 187
21.0, 14300
488.0, 189
1078.0, 50
1092.0, 48
248.0, 370
526.0, 155
360.0, 185
547.0, 125
1137.0, 55
762.0, 69
40.0, 5062
497.0, 137
1054.0, 61
480.0, 158
1135.0, 51
55.0, 3094
28.0, 8922
39.0, 5230
123.0, 908
352.0, 217
750.0, 75
919.0, 64
1113.0, 62
684.0, 99
472.0, 160
845.0, 50
986.0, 67
54.0, 3301
920.0, 70
1095.0, 55
907.0, 67
672.0, 97
982.0, 65
841.0, 66
1178.0, 73
730.0, 92
38.0, 5460
121.0, 872
174.0, 489
1071.0, 50
53.0, 3373
464.0, 159
631.0, 101
908.0, 63
718.0, 79
652.0, 112
1154.0, 64
887.0, 61
557.0, 132
349.0, 208
4.0, 104060
954.0, 69
52.0, 3440
170.0, 541
619.0, 140
553.0, 153
813.0, 75
875.0, 67
1031.0, 67
640.0, 106
298.0, 258
70.0, 2194
230.0, 344
166.0, 555
942.0, 56
876.0, 67
599.0, 128
801.0, 87
341.0, 251
525.0, 156
333.0, 220
226.0, 367
68.0, 2254
290.0, 250
1200.0, 111
521.0, 152
587.0, 124
316.0, 240
864.0, 65
410.0, 183
162.0, 568
175.0, 564
222.0, 374
1134.0, 55
1126.0, 81
1176.0, 61
265.0, 283
1209.0, 759
325.0, 228
445.0, 161
308.0, 249
724.0, 97
402.0, 188
749.0, 90
720.0, 89
428.0, 166
745.0, 92
171.0, 504
218.0, 418
1185.0, 67
650.0, 88
394.0, 185
300.0, 267
257.0, 303
1070.0, 48
881.0, 59
1175.0, 68
283.0, 263
646.0, 134
377.0, 196
1151.0, 47
437.0, 177
1167.0, 57
1062.0, 57
948.0, 64
807.0, 66
420.0, 168
882.0, 59
1052.0, 46
692.0, 90
386.0, 201
292.0, 274
944.0, 63
803.0, 76
869.0, 64
369.0, 179
412.0, 174
275.0, 276
506.0, 156
870.0, 70
618.0, 91
593.0, 115
395.0, 168
489.0, 164
680.0, 91
1111.0, 67
361.0, 199
614.0, 122
849.0, 75
1028.0, 70
267.0, 281
344.0, 217
519.0, 149
498.0, 148
581.0, 144
916.0, 77
404.0, 166
515.0, 150
775.0, 82
837.0, 74
1073.0, 45
771.0, 95
912.0, 76
387.0, 184
481.0, 179
353.0, 225
259.0, 308
27.0, 9490
751.0, 94
842.0, 67
473.0, 145
838.0, 68
37.0, 5907
336.0, 235
561.0, 126
379.0, 207
1049.0, 79
456.0, 156
1213.0, 4
739.0, 74
999.0, 67
995.0, 75
549.0, 125
3.0, 132892
1205.0, 150
1114.0, 62
698.0, 78
371.0, 184
36.0, 6120
465.0, 165
2.0, 174680
491.0, 149
51.0, 3606
863.0, 58
448.0, 173
35.0, 6477
1090.0, 58
620.0, 110
711.0, 102
686.0, 110
440.0, 139
707.0, 109
1066.0, 55
922.0, 70
483.0, 152
781.0, 81
50.0, 3683
843.0, 72
66.0, 2366
608.0, 113
34.0, 6696
831.0, 69
158.0, 651
49.0, 3703
432.0, 178
769.0, 83
567.0, 120
844.0, 64
910.0, 59
1026.0, 69
654.0, 112
1005.0, 60
317.0, 270
64.0, 2529
890.0, 54
832.0, 82
94.0, 1312
580.0, 109
48.0, 3826
154.0, 626
555.0, 137
811.0, 77
576.0, 111
642.0, 94
167.0, 566
63.0, 2545
214.0, 409
543.0, 129
993.0, 54
1112.0, 58
1195.0, 72
878.0, 56
812.0, 82
309.0, 245
717.0, 104
429.0, 150
92.0, 1309
1121.0, 94
1088.0, 67
301.0, 231
973.0, 58
713.0, 95
1171.0, 71
163.0, 533
210.0, 414
62.0, 2637
800.0, 66
523.0, 134
1202.0, 112
223.0, 412
284.0, 304
90.0, 1442
206.0, 408
159.0, 572
1087.0, 48
1097.0, 58
961.0, 66
1048.0, 62
759.0, 94
421.0, 185
293.0, 263
7.0, 60182
660.0, 99
685.0, 103
88.0, 1450
276.0, 297
219.0, 410
413.0, 188
1057.0, 58
1024.0, 53
825.0, 78
747.0, 93
396.0, 186
490.0, 133
155.0, 608
202.0, 434
1162.0, 40
118.0, 986
1138.0, 56
586.0, 100
215.0, 392
268.0, 298
673.0, 94
582.0, 127
574.0, 108
1047.0, 58
648.0, 126
1033.0, 62
405.0, 183
388.0, 192
116.0, 1013
884.0, 62
482.0, 135
508.0, 159
211.0, 372
260.0, 326
628.0, 115
805.0, 90
810.0, 64
1098.0, 48
793.0, 85
286.0, 287
380.0, 202
872.0, 64
363.0, 210
806.0, 72
457.0, 162
554.0, 138
529.0, 143
616.0, 138
967.0, 68
1149.0, 46
500.0, 168
1192.0, 94
955.0, 57
517.0, 161
1141.0, 41
963.0, 63
278.0, 282
372.0, 177
1184.0, 61
852.0, 78
773.0, 98
449.0, 172
1017.0, 65
355.0, 194
492.0, 135
753.0, 80
778.0, 84
475.0, 170
347.0, 172
840.0, 74
33.0, 6902
774.0, 80
679.0, 104
1128.0, 46
935.0, 61
1085.0, 52
675.0, 89
484.0, 144
741.0, 87
997.0, 76
1077.0, 55
467.0, 187
1002.0, 69
339.0, 222
32.0, 7350
998.0, 64
721.0, 84
799.0, 79
1104.0, 66
459.0, 146
47.0, 4111
647.0, 136
622.0, 101
643.0, 93
709.0, 99
548.0, 123
451.0, 140
46.0, 4078
610.0, 126
61.0, 2703
1023.0, 61
544.0, 122
779.0, 67
1131.0, 51
45.0, 4383
846.0, 84
1212.0, 218
5.0, 92022
590.0, 116
941.0, 64
772.0, 91
285.0, 315
60.0, 2780
1107.0, 70
834.0, 62
516.0, 146
735.0, 72
1083.0, 56
1003.0, 73
768.0, 85
1188.0, 67
86.0, 1567
44.0, 4498
578.0, 129
151.0, 643
59.0, 2853
991.0, 70
512.0, 150
929.0, 85
1004.0, 56
1166.0, 65
814.0, 74
1158.0, 62
1197.0, 108
277.0, 288
1148.0, 40
917.0, 65
653.0, 85
303.0, 265
397.0, 182
84.0, 1651
1082.0, 54
740.0, 87
992.0, 55
269.0, 315
114.0, 1045
1043.0, 70
147.0, 693
58.0, 2948
715.0, 115
1124.0, 71
971.0, 65
802.0, 77
207.0, 419
82.0, 1769
254.0, 327
703.0, 92
736.0, 87
1074.0, 64
542.0, 125
641.0, 111
143.0, 726
897.0, 67
295.0, 268
604.0, 131
9.0, 44513
389.0, 159
1157.0, 49
509.0, 130
112.0, 1079
1133.0, 43
261.0, 297
381.0, 197
621.0, 117
287.0, 281
964.0, 55
203.0, 432
80.0, 1769
250.0, 358
960.0, 67
270.0, 309
683.0, 83
110.0, 1111
364.0, 180
139.0, 766
766.0, 69
199.0, 429
522.0, 152
609.0, 119
501.0, 144
584.0, 118
572.0, 116
373.0, 211
1093.0, 52
279.0, 299
923.0, 67
820.0, 62
262.0, 329
399.0, 204
493.0, 122
108.0, 1142
356.0, 216
985.0, 76
382.0, 179
195.0, 436
476.0, 153
148.0, 684
255.0, 367
348.0, 199
746.0, 84
808.0, 83
331.0, 218
1179.0, 57
734.0, 83
485.0, 180
12.0, 31524
552.0, 144
796.0, 78
391.0, 175
468.0, 166
144.0, 695
1064.0, 61
635.0, 97
903.0, 79
374.0, 187
891.0, 64
697.0, 75
965.0, 81
251.0, 329
340.0, 207
1155.0, 55
970.0, 47
953.0, 57
366.0, 181
460.0, 141
323.0, 242
1040.0, 67
958.0, 70
443.0, 162
966.0, 65
714.0, 92
776.0, 62
1204.0, 158
1115.0, 64
315.0, 253
71.0, 2056
1196.0, 107
615.0, 121
871.0, 70
358.0, 210
452.0, 154
1012.0, 64
677.0, 94
603.0, 120
665.0, 80
1091.0, 55
478.0, 166
933.0, 55
435.0, 166
938.0, 64
307.0, 265
1000.0, 62
566.0, 129
69.0, 2230
427.0, 179
583.0, 113
470.0, 164
67.0, 2388
645.0, 104
419.0, 178
1207.0, 287
959.0, 67
546.0, 147
1199.0, 109
57.0, 3027
173.0, 532
1102.0, 64
534.0, 153
65.0, 2520
1084.0, 57
885.0, 63
1177.0, 65
1094.0, 62
95.0, 1305
782.0, 68
947.0, 74
708.0, 82
56.0, 3204
1143.0, 50
1060.0, 54
696.0, 92
671.0, 106
704.0, 97
78.0, 1775
1153.0, 53
169.0, 521
770.0, 61
927.0, 65
514.0, 169
135.0, 782
758.0, 74
93.0, 1366
865.0, 62
1006.0, 83
1038.0, 60
597.0, 113
165.0, 623
1030.0, 79
1069.0, 62
853.0, 63
1119.0, 63
932.0, 69
365.0, 210
76.0, 1880
915.0, 71
271.0, 336
106.0, 1222
928.0, 66
131.0, 805
676.0, 105
651.0, 114
994.0, 53
738.0, 88
161.0, 604
191.0, 475
74.0, 2055
639.0, 105
577.0, 103
221.0, 370
974.0, 75
540.0, 150
833.0, 77
263.0, 309
8.0, 51990
357.0, 206
1029.0, 58
565.0, 149
627.0, 122
383.0, 219
477.0, 160
104.0, 1238
6.0, 71996
1.0, 200767
900.0, 54
140.0, 714
187.0, 444
72.0, 2036
896.0, 56
217.0, 439
962.0, 65
247.0, 393
102.0, 1198
702.0, 107
183.0, 472
764.0, 75
520.0, 110
545.0, 152
375.0, 215
469.0, 160
495.0, 166
136.0, 745
1174.0, 80
461.0, 163
859.0, 81
196.0, 434
367.0, 218
243.0, 343
925.0, 61
100.0, 1199
350.0, 209
1150.0, 45
444.0, 157
132.0, 807
179.0, 485
921.0, 58
926.0, 63
682.0, 90
239.0, 374
847.0, 72
487.0, 131
1140.0, 48
670.0, 127
744.0, 83
988.0, 69
15.0, 22933
1132.0, 59
732.0, 103
192.0, 470
359.0, 205
11.0, 35451
453.0, 153
1035.0, 66
571.0, 139
479.0, 135
342.0, 214
128.0, 822
436.0, 156
1110.0, 56
893.0, 53
658.0, 91
462.0, 172
235.0, 378
633.0, 107
1027.0, 66
827.0, 66
188.0, 464
889.0, 60
906.0, 56
1191.0, 75
334.0, 228
411.0, 178
968.0, 71
894.0, 67
956.0, 56
815.0, 82
712.0, 98
471.0, 148
1076.0, 54
1068.0, 61
454.0, 171
184.0, 446
551.0, 120
605.0, 118
326.0, 228
613.0, 125
539.0, 130
244.0, 388
601.0, 122
446.0, 155
403.0, 168
1129.0, 63
874.0, 84
20.0, 15234
936.0, 70
527.0, 147
240.0, 312
91.0, 1411
438.0, 191
763.0, 80
1194.0, 82
1079.0, 59
664.0, 102
1089.0, 68
726.0, 109
89.0, 1445
1065.0, 65
507.0, 127
1170.0, 62
895.0, 65
119.0, 982
157.0, 595
821.0, 78
1055.0, 49
743.0, 102
87.0, 1481
883.0, 55
1130.0, 47
888.0, 60
644.0, 96
499.0, 143
1025.0, 53
950.0, 56
607.0, 139
117.0, 995
153.0, 642
706.0, 90
632.0, 136
809.0, 65
1106.0, 55
213.0, 421
694.0, 96
85.0, 1517
533.0, 130
115.0, 1006
149.0, 697
595.0, 122
789.0, 88
855.0, 66
851.0, 54
868.0, 74
612.0, 117
209.0, 427
930.0, 68
856.0, 53
98.0, 1242
918.0, 74
575.0, 117
674.0, 104
777.0, 72
282.0, 293
113.0, 1014
145.0, 661
757.0, 90
513.0, 136
205.0, 414
1013.0, 63
96.0, 1300
563.0, 147
351.0, 233
1160.0, 57
1086.0, 52
836.0, 61
1152.0, 49
274.0, 286
126.0, 844
1136.0, 54
201.0, 424
898.0, 58
231.0, 356
1001.0, 69
737.0, 83
266.0, 297
1169.0, 57
638.0, 100
700.0, 95
1145.0, 51
343.0, 191
1161.0, 58
725.0, 99
463.0, 161
124.0, 864
795.0, 70
626.0, 90
1046.0, 51
861.0, 65
1096.0, 46
180.0, 495
335.0, 230
227.0, 407
857.0, 74
318.0, 230
1127.0, 59
688.0, 98
258.0, 326
122.0, 918
1210.0, 965
378.0, 186
862.0, 58
1105.0, 62
924.0, 79
705.0, 82
455.0, 188
14.0, 25369
606.0, 104
783.0, 79
1103.0, 62
668.0, 101
