# FLOWS, density
4780.0, 2
0.0, 875
9210.0, 2
6120.0, 2
8221.0, 1
10300.0, 1
10888.0, 1
6565.0, 2
60947.0, 1
4506.0, 1
8942.0, 2
2356.0, 4
1900.0, 11
4038.0, 2
31389.0, 1
280.0, 182
7368.0, 3
190590.0, 1
10181.0, 1
6342.0, 2
5960.0, 2
8019.0, 1
23581.0, 1
15915.0, 1
111908.0, 1
10195.0, 1
3083.0, 4
1503841.0, 1
12947.0, 1
961.0, 23
405.0, 58
11041.0, 1
2466.0, 2
4288.0, 2
211198.0, 1
38483.0, 1
7676.0, 1
2520.0, 2
701558.0, 1
143950.0, 1
246149.0, 1
11747.0, 1
3090.0, 5
26601.0, 1
11803.0, 1
203462.0, 1
3029.0, 4
6494.0, 1
12363.0, 1
275.0, 169
29222.0, 1
5365.0, 1
26474.0, 1
3255.0, 1
10296.0, 2
9079.0, 2
91408.0, 1
4431.0, 1
290044.0, 1
5900.0, 1
2682.0, 6
1706.0, 10
2220.0, 8
37769.0, 1
51922.0, 1
2958.0, 2
2795.0, 2
4771.0, 3
25104.0, 1
11551.0, 2
16065.0, 1
6623.0, 2
9058.0, 1
3921.0, 2
8581.0, 1
3555.0, 6
3459.0, 5
159724.0, 1
31456.0, 1
13805.0, 1
7044.0, 1
9887.0, 2
36770.0, 1
99636.0, 1
9482.0, 2
359.0, 84
3112.0, 1
6157.0, 1
1498.0, 9
10491.0, 1
3007.0, 4
4543.0, 1
13883.0, 1
15832.0, 1
8170.0, 1
5304.0, 1
2890.0, 6
634.0, 43
24200.0, 1
11012.0, 2
3222.0, 2
21051.0, 2
6552.0, 1
9990.0, 1
970.0, 18
17004.0, 1
167033.0, 1
37848.0, 1
3617.0, 4
10239.0, 1
4489.0, 1
9195.0, 1
26536.0, 1
17728.0, 1
84419.0, 1
354.0, 113
1135.0, 11
4934.0, 2
74189.0, 1
1483.0, 14
219898.0, 1
29144296.0, 1
86560.0, 1
21405.0, 1
218807.0, 1
7117.0, 1
1060.0, 14
9174.0, 1
22642.0, 1
4173.0, 1
10852.0, 1
1013.0, 17
825451.0, 1
11861.0, 1
8126.0, 1
7547.0, 1
36681.0, 1
39059.0, 1
313.0, 218
2755582.0, 1
931.0, 21
3005.0, 4
902.0, 20
6215.0, 2
11814.0, 1
15869.0, 2
4601.0, 2
4460.0, 3
19619.0, 1
5929.0, 1
7410.0, 2
2407.0, 7
19917.0, 1
84787.0, 1
15563.0, 1
2196.0, 4
1729.0, 7
1721.0, 11
1010495.0, 1
45310.0, 1
3762.0, 1
6295.0, 1
3305.0, 1
323074.0, 1
10763.0, 1
3646.0, 1
183700.0, 1
6816.0, 1
12756.0, 1
38678.0, 1
1646.0, 6
308.0, 192
12488.0, 1
9945.0, 1
1294.0, 12
2953.0, 1
4032.0, 3
5741.0, 1
149509.0, 1
4677.0, 1
5674.0, 1
9608.0, 1
15664.0, 1
741.0, 35
23052.0, 1
9043.0, 1
313293.0, 1
8214.0, 2
1424.0, 13
4572.0, 1
37739.0, 1
20296.0, 1
15486.0, 1
4123.0, 3
8301.0, 2
70164.0, 1
4298.0, 3
6869.0, 1
21110.0, 1
10380.0, 1
267.0, 129
3525.0, 3
7160.0, 1
3722.0, 3
9022.0, 1
19096.0, 1
216298.0, 1
5557.0, 1
5752.0, 1
7299.0, 2
2.0, 1561
107644.0, 1
690.0, 40
58024.0, 1
6709.0, 2
17782.0, 1
8741.0, 1
4518.0, 1
27907.0, 1
3740.0, 5
1022.0, 9
9448.0, 1
7206.0, 1
608.0, 38
604.0, 36
18100.0, 1
1150.0, 12
1158.0, 13
12161.0, 1
12820.0, 1
27500.0, 1
10222.0, 1
149121.0, 1
6353.0, 2
11.0, 4202
746727.0, 1
595794.0, 1
2651.0, 5
262.0, 115
1075.0, 14
1747.0, 8
32641.0, 1
5692.0, 1
27637.0, 1
9159.0, 2
11772.0, 1
529.0, 38
1012.0, 22
2730.0, 7
38787.0, 1
119.0, 365
9339.0, 1
5075.0, 2
53294.0, 1
2157.0, 3
16038.0, 1
15061.0, 1
4114.0, 3
20375.0, 1
930.0, 18
38602.0, 1
4289.0, 3
41667.0, 1
7884.0, 1
30624.0, 1
4066.0, 2
34494.0, 1
18655.0, 1
10711.0, 2
5615.0, 1
2884.0, 3
33252.0, 1
7791.0, 1
346.0, 105
36825.0, 1
47.0, 758
1321.0, 14
3738.0, 2
2745.0, 2
11569.0, 2
10993.0, 1
15667.0, 1
3823.0, 6
3707.0, 2
3611.0, 3
18332.0, 1
340003.0, 1
17603.0, 2
9296.0, 2
10303.0, 1
5096.0, 3
22772.0, 1
545866.0, 1
2448.0, 6
41913.0, 1
4647.0, 1
4839.0, 6
2502.0, 8
236.0, 120
6344.0, 1
4772.0, 3
453887.0, 1
8501.0, 1
1536.0, 6
1528.0, 5
21469.0, 1
17164.0, 1
228364.0, 1
404137.0, 1
4793.0, 3
6226.0, 1
4726.0, 1
19702.0, 1
341.0, 113
2978.0, 5
3783.0, 1
22823.0, 1
200506.0, 1
12978.0, 1
11503.0, 2
1431.0, 18
7680.0, 1
3602.0, 3
4369.0, 3
12847.0, 1
10830.0, 1
3583.0, 1
29680.0, 1
4477.0, 1
8265.0, 2
3801.0, 8
2462.0, 11
7220.0, 2
3425.0, 6
11941.0, 2
24032.0, 1
28693.0, 1
300.0, 181
5933.0, 2
10123.0, 1
226025.0, 1
3504.0, 2
23189.0, 1
5931.0, 2
2774.0, 4
4252.0, 1
41496.0, 1
17883.0, 1
3640.0, 5
8705.0, 2
57999.0, 1
4901.0, 2
2126429.0, 1
13052.0, 1
8368.0, 1
1677.0, 14
45101.0, 1
16902.0, 1
3043.0, 3
267822.0, 1
14766.0, 1
3365.0, 5
5854.0, 2
19243.0, 1
5662.0, 1
29348.0, 1
10843.0, 1
6608.0, 1
31921.0, 1
