# VTS_0.75ratio, density
1044.0, 8
940.0, 13
663.0, 28
1036.0, 13
659.0, 24
322.0, 23
242.0, 71
564.0, 34
589.0, 27
585.0, 21
442.0, 33
178.0, 39
560.0, 41
1053.0, 15
225.0, 46
314.0, 32
238.0, 66
1045.0, 13
297.0, 57
511.0, 37
722.0, 18
957.0, 14
788.0, 11
1139.0, 8
434.0, 28
204.0, 57
784.0, 3
234.0, 55
532.0, 47
306.0, 41
528.0, 32
332.0, 38
426.0, 28
289.0, 78
710.0, 13
945.0, 16
1020.0, 5
503.0, 40
1198.0, 26
879.0, 11
409.0, 23
281.0, 115
200.0, 49
1190.0, 21
1099.0, 6
264.0, 169
669.0, 24
946.0, 17
1008.0, 5
690.0, 7
1075.0, 7
867.0, 15
418.0, 24
324.0, 49
756.0, 16
1180.0, 14
401.0, 30
752.0, 15
591.0, 20
934.0, 19
22.0, 1352
657.0, 26
273.0, 159
913.0, 18
299.0, 58
678.0, 14
393.0, 21
256.0, 123
1051.0, 7
1156.0, 11
376.0, 34
980.0, 14
914.0, 17
252.0, 131
579.0, 40
839.0, 9
637.0, 124
1116.0, 3
901.0, 11
976.0, 18
1201.0, 43
835.0, 10
538.0, 30
291.0, 67
29.0, 975
385.0, 31
1193.0, 14
368.0, 24
559.0, 26
41.0, 643
902.0, 14
505.0, 36
21.0, 1369
625.0, 17
1092.0, 5
1078.0, 8
488.0, 32
248.0, 115
526.0, 35
360.0, 25
547.0, 43
1054.0, 5
1137.0, 3
762.0, 15
40.0, 682
497.0, 40
1135.0, 8
55.0, 707
480.0, 30
28.0, 925
123.0, 133
39.0, 754
352.0, 37
1113.0, 5
919.0, 12
750.0, 6
684.0, 14
472.0, 39
920.0, 17
845.0, 18
986.0, 11
54.0, 717
1178.0, 7
982.0, 11
907.0, 15
841.0, 12
1095.0, 8
672.0, 19
730.0, 19
121.0, 133
38.0, 840
1071.0, 6
174.0, 53
53.0, 739
464.0, 40
631.0, 50
908.0, 19
718.0, 11
1154.0, 13
652.0, 31
887.0, 16
557.0, 45
349.0, 32
4.0, 8705
954.0, 14
553.0, 41
52.0, 734
170.0, 60
619.0, 16
813.0, 8
298.0, 55
875.0, 16
1031.0, 7
640.0, 47
70.0, 225
230.0, 50
166.0, 68
801.0, 7
876.0, 18
341.0, 22
599.0, 26
942.0, 15
290.0, 59
333.0, 28
226.0, 55
68.0, 248
1200.0, 42
525.0, 39
864.0, 12
316.0, 38
521.0, 38
410.0, 21
162.0, 76
587.0, 32
1134.0, 8
175.0, 52
222.0, 45
1176.0, 11
265.0, 188
1209.0, 263
1126.0, 4
325.0, 25
749.0, 10
445.0, 29
724.0, 10
402.0, 27
308.0, 43
171.0, 48
428.0, 22
745.0, 10
720.0, 11
218.0, 44
1185.0, 17
394.0, 27
650.0, 24
300.0, 49
257.0, 136
1175.0, 9
1070.0, 5
283.0, 117
377.0, 23
881.0, 14
646.0, 40
1151.0, 7
1062.0, 12
1167.0, 7
437.0, 37
882.0, 12
