# VTS, density
1044.0, 8
940.0, 13
663.0, 29
1036.0, 14
659.0, 24
322.0, 34
242.0, 81
564.0, 35
589.0, 27
585.0, 21
442.0, 41
178.0, 53
560.0, 41
1053.0, 15
225.0, 60
314.0, 42
1045.0, 13
238.0, 79
297.0, 67
511.0, 39
722.0, 19
957.0, 14
788.0, 12
1139.0, 8
434.0, 31
204.0, 66
784.0, 3
234.0, 66
532.0, 48
306.0, 48
528.0, 34
332.0, 40
426.0, 33
289.0, 85
710.0, 15
945.0, 16
1020.0, 5
503.0, 42
1198.0, 28
879.0, 12
409.0, 27
281.0, 125
200.0, 63
1190.0, 21
1099.0, 6
264.0, 184
669.0, 24
946.0, 17
690.0, 8
1008.0, 6
1075.0, 7
867.0, 15
418.0, 29
324.0, 56
756.0, 17
1180.0, 16
401.0, 40
752.0, 16
591.0, 21
934.0, 19
22.0, 1629
657.0, 26
273.0, 167
913.0, 18
299.0, 68
256.0, 138
1051.0, 7
678.0, 14
393.0, 33
1156.0, 11
376.0, 37
980.0, 14
914.0, 17
252.0, 138
579.0, 41
839.0, 10
637.0, 124
1116.0, 4
901.0, 11
976.0, 19
1201.0, 45
835.0, 11
538.0, 30
291.0, 77
29.0, 1184
385.0, 40
1193.0, 14
368.0, 30
559.0, 27
41.0, 758
902.0, 14
505.0, 36
21.0, 1658
625.0, 17
1092.0, 5
1078.0, 9
488.0, 36
248.0, 121
526.0, 36
360.0, 31
547.0, 45
1054.0, 5
1137.0, 3
762.0, 16
40.0, 807
497.0, 42
1135.0, 8
55.0, 785
480.0, 36
28.0, 1144
123.0, 146
39.0, 902
352.0, 46
919.0, 12
750.0, 6
684.0, 14
472.0, 46
1113.0, 6
920.0, 18
986.0, 12
845.0, 18
54.0, 798
1178.0, 10
982.0, 12
907.0, 15
841.0, 13
1095.0, 8
672.0, 19
730.0, 20
121.0, 154
38.0, 995
1071.0, 6
174.0, 73
53.0, 823
464.0, 49
631.0, 54
908.0, 21
718.0, 13
1154.0, 13
652.0, 31
887.0, 18
557.0, 47
349.0, 41
4.0, 10987
954.0, 14
553.0, 41
52.0, 817
170.0, 76
619.0, 18
813.0, 9
875.0, 16
1031.0, 7
640.0, 48
298.0, 69
70.0, 278
230.0, 61
166.0, 85
801.0, 7
876.0, 21
341.0, 32
599.0, 27
942.0, 16
290.0, 74
333.0, 36
226.0, 79
68.0, 302
1200.0, 46
525.0, 40
864.0, 12
316.0, 49
521.0, 39
410.0, 27
162.0, 95
587.0, 32
1134.0, 8
175.0, 68
222.0, 54
1176.0, 11
265.0, 196
1209.0, 269
1126.0, 4
325.0, 31
749.0, 10
445.0, 29
724.0, 11
402.0, 34
308.0, 50
218.0, 55
428.0, 28
745.0, 10
171.0, 65
720.0, 12
1185.0, 17
394.0, 37
650.0, 24
300.0, 55
257.0, 148
1175.0, 9
1070.0, 5
283.0, 127
377.0, 28
881.0, 14
646.0, 40
1151.0, 7
1062.0, 12
1167.0, 7
437.0, 44
882.0, 14
