Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
1288569563, 0, 13321, 4743, 1520, 3069, 2853, 48272373746, 6963443305, 3109, 4100, 39102480336, 804018280, 4100, 183, 1982, 8416267, 255, 3, 1, 22, 6826649422, 6826649422, 4381, 30259209, 589, 0, 27, 111, 285980580, 0, 6107977, 367072528, 5, 1, 5, 0, 728, 440387, 42852, 0,
1288569864, 4, 2647362, 1036955, 905751, 891869, 122154, 81709366513, 16191724907, 415301, 78587, 21024158517, 213165917, 78587, 524684, 14818037271, 2170491991, 7180, 42644, 51, 3164, 13383999992, 13383999992, 157061, 445615060, 28369, 15021, 1308, 7344, 147828753, 1552461, 7934281, 5485756, 115893, 339615, 3215, 16505, 285178388, 66121907, 16981647, 228143460,
1288570165, 2, 1864657, 1028628, 361948, 720348, 39583, 65773303672, 17352634247, 439743, 52083, 38860518547, 755430071, 52083, 402134, 5405287532, 319821189, 6199, 2340, 29, 3484, 16793536358, 16793536358, 9629, 368470565, 22016, 2080, 1112, 7370, 238302146, 969921, 9309304, 344475165, 49044, 298370, 2637, 17587, 46787448, 29176661, 5624668, 5369617,
1288570466, 3, 1909520, 995631, 354368, 708713, 42887, 62203182572, 15278903761, 430020, 52662, 22463934630, 199745823, 52662, 479915, 5250107679, 408027951, 6422, 2489, 33, 3653, 14653240770, 14653240770, 49399, 245690724, 21758, 2256, 1084, 10216, 171994327, 1269958, 4125276, 3559074, 45032, 352884, 2307, 17395, 41352744, 31999126, 665573, 275211467,
1288570767, 3, 1997923, 1009883, 348390, 709717, 59316, 93148725964, 15890680186, 426447, 57119, 35724471006, 817046455, 57119, 540880, 9444148991, 2190097766, 6005, 3768, 41, 3915, 14584803401, 14584803401, 105444, 462978113, 21961, 2106, 1159, 9733, 257174430, 735310, 8689381, 421087641, 45382, 401422, 3088, 18862, 251508580, 70679475, 16599387, 379410825,
1288571068, 3, 1905632, 1007265, 340579, 715617, 54320, 76637352496, 19064659302, 422922, 52936, 21852228931, 258585747, 52936, 468047, 5400728536, 584584544, 7275, 2471, 39, 3951, 18506075012, 18506075012, 146676, 257743304, 22283, 2038, 1131, 7757, 144714990, 711946, 3901352, 6834843, 61497, 323864, 2380, 18374, 45036126, 33104894, 6144543, 222506744,
1288571369, 4, 1832998, 991737, 330567, 697910, 40801, 74144420612, 21217119011, 418133, 52023, 34967155632, 1175830930, 52023, 435458, 5242603546, 348663211, 6270, 2426, 30, 3538, 20350556209, 20350556209, 48742, 119164112, 21664, 2145, 1101, 8533, 683264116, 1020009, 8660766, 425690044, 63100, 291965, 2472, 17311, 51010228, 28548515, 3471560, 93542180,
1288571670, 3, 1948187, 1014011, 384103, 754821, 63751, 85102529447, 17287814633, 424821, 83447, 20803456512, 310917429, 83447, 420123, 7120565591, 1838869314, 8638, 2736, 42, 3521, 16176830331, 16176830331, 89457, 500978648, 29470, 2037, 1119, 23680, 185377262, 814927, 5275289, 11921212, 51908, 285834, 3016, 17005, 238974110, 53482872, 17565822, 276325029,
1288571971, 3, 1798087, 953494, 341502, 685702, 47146, 114183696277, 15819354112, 406448, 78207, 31641394433, 1047894997, 78207, 394308, 3762911858, 448083500, 8231, 2420, 21, 1259, 15228432856, 15228432856, 16626, 257347964, 35278, 1930, 1100, 20212, 522796463, 1068132, 6152933, 421362956, 48636, 284372, 2358, 10124, 33731478, 28555300, 7319262, 131865819,
1288572272, 3, 1899238, 961731, 317540, 675368, 54050, 86384158705, 16866221856, 402938, 55228, 20658388526, 248915667, 55228, 527680, 5722339211, 481993487, 9791, 2965, 39, 1732, 16001868205, 16001868205, 80597, 110819251, 23677, 2015, 1073, 8602, 129894110, 692261, 4832402, 7574287, 149288, 288380, 2515, 11571, 81570466, 28360577, 945173, 161393497,
