Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
 1288569563, 0, 13321, 890, 419, 488, 5434, 6852295050, 48383522001, 821, 6388, 10854271724, 29052226892, 6388, 190, 0, 8418249, 1968, 405, 36, 453, 41038876673, 41038876673, 1497195, 1553240853, 2311, 337, 64, 303, 24382458217, 1869175407, 10668727, 2645067346, 5, 2, 5, 6, 728, 441076, 42852, 1293,
 1288569864, 2, 2647362, 106338, 615122, 234753, 779270, 24401583717, 73499507703, 47249, 446639, 11091251820, 10146072614, 446639, 699993, 8467157406, 8521371856, 180109, 364658, 30179, 135209, 61262848481, 61262848481, 22740589, 3374054400, 149441, 179274, 14757, 76622, 6954673726, 668829254, 13491694, 2458713274, 151091, 423651, 18679, 57116, 4103145167, 2341294737, 24841092, 478024271,
 1288570165, 2, 1864657, 104415, 69142, 84709, 675222, 17484822755, 65641115164, 44142, 447684, 12773472250, 26842476368, 447684, 568194, 4548445940, 1176662781, 166846, 321666, 22984, 136195, 52593208949, 52593208949, 9836681, 2918792452, 158152, 176093, 13554, 80380, 21791173516, 1910872766, 13224410, 2964832141, 83011, 377012, 13608, 60067, 119327393, 783290348, 7559574, 33622671,
 1288570466, 2, 1909520, 100814, 63765, 88480, 663120, 20062170737, 57419915596, 43978, 438704, 10935067433, 11728613020, 438704, 643117, 3077602697, 2580532933, 152024, 318546, 23143, 139117, 44545112389, 44545112389, 7862432, 2686980446, 145266, 178130, 13421, 84539, 7953298655, 1028644419, 8500286, 2719372472, 76354, 431304, 13476, 59686, 1407161418, 781270258, 4125497, 329176719,
 1288570767, 3, 1997923, 98455, 61011, 87394, 681639, 22762759751, 86276646399, 41802, 441764, 11945871427, 24595646034, 441764, 715054, 4179735481, 7454511276, 163148, 302669, 30282, 139953, 77075178761, 77075178761, 21184810, 3127549715, 150742, 173781, 15294, 79787, 20102932759, 1608354619, 13974103, 2741024860, 78948, 484545, 17884, 61551, 3043908167, 2252348225, 23433834, 662921551,
 1288571068, 2, 1905632, 94988, 54095, 82538, 687399, 19307949553, 76394062245, 38215, 437643, 9745227655, 12365587023, 437643, 631507, 4115984102, 1869328978, 158592, 323746, 23166, 141311, 67237179759, 67237179759, 10374315, 2630192502, 154224, 171974, 13960, 77758, 8489981731, 1025301239, 8830491, 2739050946, 92544, 402266, 13763, 61002, 202444556, 1117229132, 8724878, 263138175,
 1288571369, 2, 1832998, 94490, 58153, 83772, 654939, 16583605574, 78777934049, 40070, 430086, 12723762235, 23419224327, 430086, 595330, 3108726957, 2482539800, 156267, 314680, 22854, 132601, 68144496364, 68144496364, 10892780, 2942158621, 149971, 173160, 14006, 74369, 18538685366, 1696983378, 13917894, 3112441694, 94468, 368793, 13763, 57696, 1396231966, 787355439, 5807853, 121053814,
 1288571670, 2, 1948187, 92821, 55530, 77495, 741077, 17875916497, 84514427583, 38692, 469576, 8976869050, 12137504891, 469576, 589183, 2774386069, 6185048836, 162751, 332569, 29290, 167653, 74055426359, 74055426359, 20003644, 4232826786, 159186, 166167, 14611, 102471, 8218420314, 975650692, 13836117, 2822069029, 82733, 363344, 17874, 62872, 2431161016, 1953731053, 23185444, 524449842,
 1288571971, 2, 1798087, 90248, 58162, 80905, 651943, 16690531598, 113312518791, 37722, 446933, 11293330324, 21395959106, 446933, 550801, 3012404694, 1198590664, 155856, 299830, 23225, 137817, 99273929244, 99273929244, 9073859, 3243965990, 160569, 165712, 13547, 87418, 16802947073, 1327111228, 10777472, 3158608820, 77300, 357951, 14293, 52439, 110389489, 617667822, 10370180, 213551532,
 1288572272, 2, 1899238, 91023, 54710, 77449, 651969, 13887032766, 89363347795, 38338, 419828, 9524381957, 11382922236, 419828, 681708, 3612863130, 2591469568, 161116, 300421, 24456, 126453, 80137450295, 80137450295, 11864975, 2253474507, 151295, 164584, 13668, 70420, 8032710351, 742681183, 9477794, 2492130301, 178397, 361655, 14421, 51309, 1356518330, 787328581, 4275694, 233623189,
