Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
1288569563, 0, 13321, 1053, 456, 547, 5375, 6853499275, 48382317776, 941, 6268, 10861157048, 29045341568, 6268, 183, 1982, 8416267, 1968, 364, 30, 441, 41038876673, 41038876673, 1421583, 1553048309, 2311, 246, 40, 298, 24382458217, 1865498794, 7480407, 2645046955, 5, 1, 5, 0, 728, 440387, 42852, 0,
1288569864, 3, 2647362, 481258, 840013, 550989, 463034, 24509054312, 73392037108, 240954, 252934, 11139250078, 10098074356, 252934, 611243, 8479109654, 8509419608, 180109, 168234, 29025, 16551, 61262848481, 61262848481, 20807625, 3339512287, 149441, 52809, 14019, 10120, 6954673726, 628757582, 11574707, 2452703675, 151091, 373752, 18383, 18561, 4103145167, 2337001827, 24755107, 470450918,
1288570165, 3, 1864657, 500439, 300918, 409294, 350637, 17586186709, 65539751210, 252563, 239263, 12822322644, 26793625974, 239263, 474212, 4559410917, 1165697804, 166846, 117824, 22145, 16291, 52593208949, 52593208949, 9057848, 2886176621, 158152, 38462, 13013, 10131, 21791173516, 1870182458, 11146910, 2958749555, 83011, 324049, 13376, 19280, 119327393, 779269402, 7504788, 26733426,
1288570466, 4, 1909520, 493358, 298845, 410849, 340751, 20177183393, 57304902940, 255452, 227230, 10984190994, 11679489459, 227230, 550002, 3088878697, 2569256933, 152024, 119452, 22438, 16547, 44545112389, 44545112389, 7209228, 2653880925, 145266, 38544, 12963, 13109, 7953298655, 988071103, 5951550, 2713370963, 76354, 378773, 13269, 19309, 1407161418, 777138655, 4088975, 322068844,
1288570767, 3, 1997923, 486494, 292082, 408826, 360207, 22868753291, 86170652859, 242841, 240725, 11995433071, 24546084390, 240725, 619308, 4195089114, 7439157643, 163148, 104641, 29320, 17511, 77075178761, 77075178761, 19542018, 3093114277, 150742, 40265, 14649, 12909, 20102932759, 1566999683, 11608350, 2735183905, 78948, 429916, 17573, 20745, 3043908167, 2244972800, 23356377, 655020800,
1288571068, 3, 1905632, 507871, 286905, 430994, 338943, 19417419012, 76284592786, 241062, 234796, 9791861245, 12318953433, 234796, 537953, 4127211437, 1858101643, 158592, 100081, 22255, 17431, 67237179759, 67237179759, 9446570, 2596348344, 154224, 36560, 13387, 10898, 8489981731, 985840140, 7435657, 2733273289, 92544, 350181, 13501, 19795, 202444556, 1113228804, 8653633, 255982413,
1288571369, 2, 1832998, 497143, 276478, 409668, 329043, 16685694523, 78675845100, 242064, 228092, 12774920781, 23368065781, 228092, 503033, 3119760920, 2471505837, 156267, 105666, 22064, 16509, 68144496364, 68144496364, 10186969, 2910507612, 149971, 34218, 13461, 11862, 18538685366, 1653836608, 11303050, 3107044762, 94468, 315626, 13531, 18798, 1396231966, 783263409, 5762735, 114156999,
1288571670, 4, 1948187, 490100, 324433, 442837, 375735, 17993864892, 84396479188, 244571, 263697, 9023828282, 12090545659, 263697, 495049, 2793059148, 6166375757, 162751, 116545, 28343, 19282, 74055426359, 74055426359, 18362392, 4191755653, 159186, 36514, 14013, 26843, 8218420314, 937156570, 11865738, 2815574298, 82733, 313498, 17621, 18837, 2431161016, 1942967220, 23131644, 516594396,
1288571971, 4, 1798087, 476991, 284763, 406498, 326350, 16793460875, 113209589514, 234927, 249728, 11342992421, 21346297009, 249728, 461077, 3023280690, 1187714668, 155856, 96959, 22307, 16013, 99273929244, 99273929244, 8077146, 3211118833, 160569, 32612, 12992, 23868, 16802947073, 1285562970, 8162002, 3153110451, 77300, 308861, 14055, 12043, 110389489, 613845409, 10323530, 206544599,
1288572272, 3, 1899238, 485303, 263320, 401091, 328327, 13989785656, 89260594905, 228895, 229271, 9570020798, 11337283395, 229271, 593817, 3623683295, 2580649403, 161116, 88999, 23581, 15108, 80137450295, 80137450295, 10909130, 2222790282, 151295, 32821, 13148, 12146, 8032710351, 703658600, 7902675, 2487089162, 178397, 312163, 14184, 13147, 1356518330, 783483406, 4227472, 226696421,
