0.0.0.0/8, bogon
5.0.0.0/8, bogon
10.0.0.0/8, bogon
23.0.0.0/8, bogon
36.0.0.0/8, bogon
37.0.0.0/8, bogon
39.0.0.0/8, bogon
42.0.0.0/8, bogon
100.0.0.0/8, bogon
102.0.0.0/8, bogon
103.0.0.0/8, bogon
104.0.0.0/8, bogon
105.0.0.0/8, bogon
106.0.0.0/8, bogon
127.0.0.0/8, bogon
169.254.0.0/16, bogon
172.16.0.0/12, bogon
179.0.0.0/8, bogon
185.0.0.0/8, bogon
192.0.0.0/24, bogon
192.0.2.0/24, bogon
192.168.0.0/16, bogon
198.18.0.0/15, bogon
198.51.100.0/24, bogon
203.0.113.0/24, bogon
224.0.0.0/3, bogon
