# CESNET
195.113.161.83/32, planetlab, planetlab2.cesnet.cz
195.113.161.82/32, planetlab, planetlab1.cesnet.cz
147.229.10.250/32, planetlab, planetlab1.fit.vutbr.cz
# Aston University
134.151.255.181/32, planetlab, planetlab2.aston.ac.uk
134.151.255.180/32, planetlab, planetlab1.aston.ac.uk
# Michigan Technological University
141.219.252.132/32, planetlab, mtuplanetlab1.cs.mtu.edu
141.219.252.133/32, planetlab, mtuplanetlab2.cs.mtu.edu
# University of Florida
128.227.56.81/32, planetlab, planetlab1.acis.ufl.edu
128.227.56.82/32, planetlab, planetlab2.acis.ufl.edu
# The Citadel
155.225.2.72/32, planetlab, planetlab2.citadel.edu
155.225.2.71/32, planetlab, planetlab1.citadel.edu
# SRI International
192.12.33.102/32, planetlab, pl-node-1.csl.sri.com
192.12.33.100/32, planetlab, pl-node-0.csl.sri.com
# HAW Hamburg
141.22.213.35/32, planetlab, mars.planetlab.haw-hamburg.de
141.22.213.34/32, planetlab, merkur.planetlab.haw-hamburg.de
# PL Colo - CLARA Santiago
200.0.206.203/32, planetlab, planetlab2-santiago.lan.redclara.net
200.0.206.202/32, planetlab, planetlab1-santiago.lan.redclara.net
# Canterbury
132.181.10.56/32, planetlab, planetlab3.canterbury.ac.nz
132.181.10.57/32, planetlab, planetlab4.canterbury.ac.nz
# UCSC
128.114.63.14/32, planetlab, planetslug6.cse.ucsc.edu
128.114.63.63/32, planetlab, planetslug4.cse.ucsc.edu
128.114.63.15/32, planetlab, planetslug7.cse.ucsc.edu
128.114.63.16/32, planetlab, planetslug3.cse.ucsc.edu
128.114.63.64/32, planetlab, planetslug5.cse.ucsc.edu
# HPLabsI2
192.6.26.32/32, planetlab, pli2-pa-2.hpl.hp.com
192.6.26.31/32, planetlab, pli2-pa-1.hpl.hp.com
192.6.26.33/32, planetlab, pli2-pa-3.hpl.hp.com
# Nebraska
129.93.229.138/32, planetlab, planetlab1.unl.edu
129.93.229.139/32, planetlab, planetlab2.unl.edu
# Universidade do Algarve
193.136.227.164/32, planetlab, planetlab2.fct.ualg.pt
193.136.227.163/32, planetlab, planetlab1.fct.ualg.pt
# PL Colo - TP Warsaw
195.116.60.145/32, planetlab, planetlab1.nowogrodzka.rd.tp.pl
195.116.60.146/32, planetlab, planetlab2.nowogrodzka.rd.tp.pl
# University of Toronto
142.150.3.77/32, planetlab, planetlab01.erin.utoronto.ca
142.150.3.78/32, planetlab, planetlab02.erin.utoronto.ca
# Arizona
206.207.248.34/32, planetlab, planetlab1.arizona-gigapop.net
206.207.248.38/32, planetlab, planetlab3.arizona-gigapop.net
206.207.248.35/32, planetlab, planetlab2.arizona-gigapop.net
# Delft
130.161.40.154/32, planetlab, planetlab2.ewi.tudelft.nl
130.161.40.153/32, planetlab, planetlab1.ewi.tudelft.nl
# University of California, Irvine
128.195.54.161/32, planetlab, planetlab-1a.ics.uci.edu
128.195.54.163/32, planetlab, planetlab-2a.ics.uci.edu
128.195.54.212/32, planetlab, planetlab-3.ics.uci.edu
# Imperial College London
193.63.75.21/32, planetlab, planetlab-4.imperial.ac.uk
193.63.75.18/32, planetlab, planetlab-1.imperial.ac.uk
193.63.75.20/32, planetlab, planetlab-3.imperial.ac.uk
193.63.75.19/32, planetlab, planetlab-2.imperial.ac.uk
# PL Colo - TP Poznan
195.116.60.113/32, planetlab, planetlab1.poznan.rd.tp.pl
